tasks,,,,,,,,,
Outcome type,Size,N,study type,Parametric,Binary Cnf.,Cont. Cnf.,Slurm,Complete,Extracted
binary,,1.00E+05,RCT,,4,0,sbatch simulate.sh asymp binary 4 0 TRUE TRUE,1,1
binary,,2500,RCT,,4,0,sbatch simulate.sh finite1 binary 4 0 TRUE TRUE,,
binary,,500,RCT,,4,0,sbatch simulate.sh finite2 binary 4 0 TRUE TRUE,1,1
binary,,250,RCT,,4,0,sbatch simulate.sh finite3 binary 4 0 TRUE TRUE,1,1
binary,,1.00E+05,RCT,,0,100,sbatch simulate.sh asymp binary 0 100 TRUE TRUE,1,1
binary,,2500,RCT,,0,100,sbatch simulate.sh finite1 binary 0 100 TRUE TRUE,1,1
binary,,500,RCT,,0,100,sbatch simulate.sh finite2 binary 0 100 TRUE TRUE,1,1
binary,,250,RCT,,0,100,sbatch simulate.sh finite3 binary 0 100 TRUE TRUE,1,1
binary,,1.00E+05,obs.,No,4,0,sbatch simulate.sh asymp binary 4 0 FALSE FALSE,1,1
binary,,2500,obs.,No,4,0,sbatch simulate.sh finite1 binary 4 0 FALSE FALSE,1,1
binary,,500,obs.,No,4,0,sbatch simulate.sh finite2 binary 4 0 FALSE FALSE,1,1
binary,,250,obs.,No,4,0,sbatch simulate.sh finite3 binary 4 0 FALSE FALSE,1,1
binary,,1.00E+05,obs.,No,0,100,sbatch simulate.sh asymp binary 0 100 FALSE FALSE,1,1
binary,,2500,obs.,No,0,100,sbatch simulate.sh finite1 binary 0 100 FALSE FALSE,1,1
binary,,500,obs.,No,0,100,sbatch simulate.sh finite2 binary 0 100 FALSE FALSE,1,1
binary,,250,obs.,No,0,100,sbatch simulate.sh finite3 binary 0 100 FALSE FALSE,1,1
binary,,1.00E+05,obs.,Yes,4,0,sbatch simulate.sh asymp binary 4 0 FALSE TRUE,1,1
binary,,2500,obs.,Yes,4,0,sbatch simulate.sh finite1 binary 4 0 FALSE TRUE,1,1
binary,,500,obs.,Yes,4,0,sbatch simulate.sh finite2 binary 4 0 FALSE TRUE,1,1
binary,,250,obs.,Yes,4,0,sbatch simulate.sh finite3 binary 4 0 FALSE TRUE,1,1
binary,,1.00E+05,obs.,Yes,0,100,sbatch simulate.sh asymp binary 0 100 FALSE TRUE,1,1
binary,,2500,obs.,Yes,0,100,sbatch simulate.sh finite1 binary 0 100 FALSE TRUE,1,1
binary,,500,obs.,Yes,0,100,sbatch simulate.sh finite2 binary 0 100 FALSE TRUE,1,1
binary,,250,obs.,Yes,0,100,sbatch simulate.sh finite3 binary 0 100 FALSE TRUE,1,1
ordinal,8,1.00E+05,RCT,,4,0,sbatch simulate.sh asymp ordinal 4 0 TRUE TRUE,1,
ordinal,8,2500,RCT,,4,0,sbatch simulate.sh finite1 ordinal 4 0 TRUE TRUE,1,
ordinal,8,500,RCT,,4,0,sbatch simulate.sh finite2 ordinal 4 0 TRUE TRUE,1,
ordinal,8,250,RCT,,4,0,sbatch simulate.sh finite3 ordinal 4 0 TRUE TRUE,1,
ordinal,8,1.00E+05,RCT,,0,100,sbatch simulate.sh asymp ordinal 0 100 TRUE TRUE,1,
ordinal,8,2500,RCT,,0,100,sbatch simulate.sh finite1 ordinal 0 100 TRUE TRUE,1,
ordinal,8,500,RCT,,0,100,sbatch simulate.sh finite2 ordinal 0 100 TRUE TRUE,1,
ordinal,8,250,RCT,,0,100,sbatch simulate.sh finite3 ordinal 0 100 TRUE TRUE,1,
survival,,1.00E+05,RCT,,4,0,sbatch simulate.sh asymp tte 4 0 TRUE TRUE,,
survival,,2500,RCT,,4,0,sbatch simulate.sh finite1 tte 4 0 TRUE TRUE,,
survival,,500,RCT,,4,0,sbatch simulate.sh finite2 tte 4 0 TRUE TRUE,,
survival,,250,RCT,,4,0,sbatch simulate.sh finite3 tte 4 0 TRUE TRUE,,
survival,,1.00E+05,RCT,,0,100,sbatch simulate.sh asymp tte 0 100 TRUE TRUE,,
survival,,2500,RCT,,0,100,sbatch simulate.sh finite1 tte 0 100 TRUE TRUE,,
survival,,500,RCT,,0,100,sbatch simulate.sh finite2 tte 0 100 TRUE TRUE,,
survival,,250,RCT,,0,100,sbatch simulate.sh finite3 tte 0 100 TRUE TRUE,,
survival,,1.00E+05,obs.,,4,0,sbatch simulate.sh asymp tte 4 0 FALSE FALSE,,
survival,,2500,obs.,,4,0,sbatch simulate.sh finite1 tte 4 0 FALSE FALSE,,
survival,,500,obs.,,4,0,sbatch simulate.sh finite2 tte 4 0 FALSE FALSE,,
survival,,250,obs.,,4,0,sbatch simulate.sh finite3 tte 4 0 FALSE FALSE,,
survival,,1.00E+05,obs.,,0,100,sbatch simulate.sh asymp tte 0 100 FALSE FALSE,,
survival,,2500,obs.,,0,100,sbatch simulate.sh finite1 tte 0 100 FALSE FALSE,,
survival,,500,obs.,,0,100,sbatch simulate.sh finite2 tte 0 100 FALSE FALSE,,
survival,,250,obs.,,0,100,sbatch simulate.sh finite3 tte 0 100 FALSE FALSE,,
